label,name,c1,c2,c3,id,val_fs,cortical,alpha
,R_V3_ROI,19,44,232,204,15215635,1,255
,R_V4_ROI,17,47,220,205,14429969,1,255
,R_V8_ROI,23,68,210,206,13779991,1,255
,R_4_ROI,31,186,26,207,1751583,1,255
,R_3b_ROI,40,197,24,208,1623336,1,255
,R_FEF_ROI,137,155,150,209,9870217,1,255
,R_PEF_ROI,157,182,167,210,10991261,1,255
,R_55b_ROI,105,107,74,211,4877161,1,255
,R_V3A_ROI,19,72,247,212,16205843,1,255
,R_RSC_ROI,149,69,136,213,8930709,1,255
,R_POS2_ROI,205,111,205,214,13463501,1,255
,R_V7_ROI,28,96,192,215,12607516,1,255
,R_IPS1_ROI,63,141,175,216,11504959,1,255
,R_FFC_ROI,52,108,122,217,8023092,1,255
,R_V3B_ROI,40,80,222,218,14569512,1,255
,R_LO1_ROI,13,67,200,219,13124365,1,255
,R_LO2_ROI,19,66,182,220,11944467,1,255
,R_PIT_ROI,37,74,184,221,12077605,1,255
,R_MT_ROI,31,99,108,222,7103263,1,255
,R_A1_ROI,232,10,46,223,3017448,1,255
,R_PSL_ROI,189,148,136,224,8950973,1,255
,R_SFL_ROI,66,60,47,225,3095618,1,255
,R_PCV_ROI,130,146,157,226,10326658,1,255
,R_STV_ROI,139,115,106,227,6976395,1,255
,R_7Pm_ROI,153,213,197,228,12965273,1,255
,R_7m_ROI,47,48,53,229,3485743,1,255
,R_POS1_ROI,83,83,118,230,7754579,1,255
,R_23d_ROI,135,56,98,231,6436999,1,255
,R_v23ab_ROI,26,11,25,232,1641242,1,255
,R_d23ab_ROI,60,16,44,233,2887740,1,255
,R_31pv_ROI,68,17,50,234,3281220,1,255
,R_5m_ROI,43,177,49,235,3256619,1,255
,R_5mv_ROI,139,165,129,236,8496523,1,255
,R_23c_ROI,205,197,195,237,12830157,1,255
,R_5L_ROI,64,163,67,238,4432704,1,255
,R_24dd_ROI,69,167,48,239,3188549,1,255
,R_24dv_ROI,112,161,66,240,4366704,1,255
,R_7AL_ROI,113,187,122,241,8043377,1,255
,R_SCEF_ROI,141,153,111,242,7313805,1,255
,R_6ma_ROI,150,176,139,243,9154710,1,255
,R_7Am_ROI,169,249,216,244,14219689,1,255
,R_7PL_ROI,154,253,227,245,14941594,1,255
,R_7PC_ROI,71,182,106,246,6993479,1,255
,R_LIPv_ROI,61,129,171,247,11239741,1,255
,R_VIP_ROI,54,137,147,248,9668918,1,255
,R_MIP_ROI,126,210,197,249,12964478,1,255
,R_1_ROI,28,199,44,250,2934556,1,255
,R_2_ROI,51,185,69,251,4569395,1,255
,R_3a_ROI,44,225,29,252,1958188,1,255
,R_6d_ROI,31,165,41,253,2729247,1,255
,R_6mp_ROI,67,163,47,254,3121987,1,255
,R_6v_ROI,89,185,66,255,4372825,1,255
,R_p24pr_ROI,152,148,120,256,7902360,1,255
,R_33pr_ROI,117,96,97,257,6381685,1,255
,R_a24pr_ROI,176,134,132,258,8685232,1,255
,R_p32pr_ROI,176,149,134,259,8820144,1,255
,R_a24_ROI,73,18,38,260,2495049,1,255
,R_d32_ROI,109,46,65,261,4271725,1,255
,R_8BM_ROI,130,82,92,262,6050434,1,255
,R_p32_ROI,112,55,80,263,5257072,1,255
,R_10r_ROI,26,4,8,264,525338,1,255
,R_47m_ROI,79,52,50,265,3290191,1,255
,R_8Av_ROI,79,68,65,266,4277327,1,255
,R_8Ad_ROI,55,62,44,267,2899511,1,255
,R_9m_ROI,43,25,19,268,1251627,1,255
,R_8BL_ROI,35,36,22,269,1451043,1,255
,R_9p_ROI,62,53,49,270,3224894,1,255
,R_10d_ROI,28,23,18,271,1185564,1,255
